cust_id,join_date,gender,age,marital_status,household_income,home_ownership,num_children,num_vehicles,last_purchase_date,spend
CUST-613944,8/26/2021 0:36,F,31,married,88153,rent,0,1,3/9/2021 14:19,3374
CUST-457073,6/2/2021 4:45,M,38,married,80098,own,1,5,6/2/2021 20:52,2445
CUST-932884,7/22/2019 14:57,F,56,married,262825,unknown,5,5,8/15/2021 4:00,5933
CUST-644501,8/23/2018 22:30,F,22,married,414209,own,1,2,7/11/2021 6:15,7198
CUST-677905,10/27/2020 10:30,F,23,married,268292,own,3,1,12/29/2021 7:43,1555
CUST-303404,4/29/2019 3:49,M,20,married,209784,rent,4,5,2/27/2021 18:19,5111
CUST-079753,1/24/2021 13:06,F,29,married,314285,rent,0,4,8/5/2021 3:21,1918
CUST-706701,5/3/2019 7:53,M,23,married,248009,own,1,4,10/4/2021 3:11,3422
CUST-121657,6/11/2017 14:46,M,24,unmarried,371477,rent,1,5,4/10/2021 20:55,7031
CUST-117546,6/13/2018 9:16,F,30,married,392480,own,5,4,3/23/2021 3:21,5711
CUST-791978,2/15/2018 5:11,F,46,married,318986,own,2,2,7/8/2021 22:48,4638
CUST-199340,12/12/2019 5:55,F,21,unmarried,121224,rent,5,1,12/26/2021 5:10,4965
CUST-616018,3/22/2018 0:36,F,42,married,357107,own,0,0,10/10/2021 6:07,4439
CUST-512892,11/12/2019 2:14,F,34,unmarried,312764,own,5,3,4/3/2021 19:06,1699
CUST-060836,12/2/2019 2:26,F,53,married,421583,own,1,5,3/31/2021 3:32,4873
CUST-222208,3/7/2018 10:22,F,20,married,314806,unknown,0,5,1/18/2021 17:24,1561
CUST-018537,5/15/2019 9:33,F,24,married,232886,own,5,1,12/4/2021 8:08,4921
CUST-913457,5/24/2018 10:10,M,29,married,65549,own,1,5,8/3/2021 1:47,4106
CUST-193573,1/18/2017 20:29,F,31,unmarried,125406,own,5,2,7/31/2021 15:01,4839
CUST-537493,3/13/2017 8:39,F,46,unmarried,108348,own,5,4,12/8/2021 7:35,5161
CUST-349525,2/27/2019 18:46,F,40,unmarried,255710,own,2,1,12/8/2021 8:47,3067
CUST-380763,1/10/2017 20:38,F,32,married,224718,rent,3,1,11/24/2021 6:22,5019
CUST-286783,7/2/2018 1:55,M,46,married,340319,own,5,4,6/4/2021 1:40,2935
CUST-488880,10/29/2021 13:03,F,32,married,476938,own,5,5,11/13/2021 4:48,4895
CUST-931704,3/16/2020 10:22,F,25,unmarried,194629,own,3,1,3/28/2021 23:40,4397
CUST-677766,8/27/2021 13:52,F,36,married,474159,own,3,4,8/30/2021 1:52,6169
CUST-251099,4/10/2020 11:39,M,25,unmarried,228762,own,0,3,1/10/2021 22:38,2424
CUST-232378,6/13/2017 18:31,F,37,married,119175,rent,5,2,5/25/2021 17:59,4171
CUST-221506,11/23/2018 7:38,F,47,married,210887,own,2,3,5/16/2021 15:07,3398
CUST-457099,2/25/2020 2:39,M,41,married,352889,rent,0,1,3/21/2021 11:10,1701
CUST-837335,2/5/2021 5:01,M,50,married,407691,own,5,3,5/31/2021 17:19,4962
CUST-648024,4/26/2019 10:11,F,36,married,127623,unknown,1,0,3/31/2021 14:27,5851
CUST-521591,11/7/2018 15:17,F,26,unmarried,440337,own,4,0,2/25/2021 9:58,6776
CUST-074713,10/13/2020 0:56,M,27,unmarried,475705,own,5,4,10/1/2021 16:07,4592
CUST-450864,3/14/2019 9:16,M,33,married,231602,rent,3,1,4/27/2021 15:00,3519
CUST-346473,8/10/2021 9:01,F,20,unmarried,349754,own,1,2,3/14/2021 18:47,1526
CUST-699387,3/3/2019 21:51,M,46,unmarried,95676,own,1,3,3/31/2021 7:13,2674
CUST-504469,6/9/2019 19:19,F,23,unmarried,68847,own,2,0,1/8/2021 6:31,3066
CUST-621114,12/8/2020 8:31,M,35,unmarried,475220,own,1,5,3/11/2021 21:50,6527
CUST-907625,7/4/2019 23:04,M,21,unmarried,359496,unknown,4,0,5/9/2021 23:14,4215
CUST-857087,4/2/2017 3:02,M,32,married,289570,own,4,4,1/14/2021 10:02,4456
CUST-628157,5/15/2021 22:22,F,30,married,371161,own,0,1,7/2/2021 23:36,4814
CUST-250129,5/4/2017 7:03,F,27,married,345741,own,0,5,11/3/2021 15:12,3016
CUST-863054,9/6/2020 11:26,F,22,married,437773,own,4,1,4/22/2021 12:15,5296
CUST-911373,5/24/2018 1:18,M,49,unmarried,153190,own,4,2,8/4/2021 4:15,3882
CUST-237828,12/16/2019 9:49,F,24,married,396838,own,5,5,10/19/2021 22:31,5969
CUST-764775,11/22/2021 17:00,F,55,married,407634,own,4,2,8/31/2021 1:32,7454
CUST-361331,4/30/2017 12:34,F,23,married,314156,own,5,1,3/13/2021 16:50,3429
CUST-812624,11/2/2017 10:00,M,53,unmarried,478037,own,1,2,12/21/2021 11:40,6657
CUST-430173,7/30/2018 13:52,M,46,married,291303,rent,5,0,7/24/2021 4:49,2884
CUST-025271,3/15/2019 2:52,M,51,married,75022,rent,0,4,1/6/2021 3:47,4262
CUST-535389,12/18/2020 23:38,M,23,unmarried,389297,own,4,2,10/11/2021 10:48,6634
CUST-088864,4/13/2019 10:05,M,32,unmarried,351515,rent,0,0,9/24/2021 15:12,2347
