Date,Open,High,Low,Close,Adj Close,Volume
3-Jan-22,177.83,182.88,177.71,182.01,180.96,"104,487,900"
4-Jan-22,182.63,182.94,179.12,179.7,178.66,"99,310,400"
5-Jan-22,179.61,180.17,174.64,174.92,173.91,"94,537,600"
6-Jan-22,172.7,175.3,171.64,172,171.01,"96,904,000"
7-Jan-22,172.89,174.14,171.03,172.17,171.18,"86,709,100"
10-Jan-22,169.08,172.5,168.17,172.19,171.2,"106,765,600"
11-Jan-22,172.32,175.18,170.82,175.08,174.07,"76,138,300"
12-Jan-22,176.12,177.18,174.82,175.53,174.52,"74,805,200"
13-Jan-22,175.78,176.62,171.79,172.19,171.2,"84,505,800"
14-Jan-22,171.34,173.78,171.09,173.07,172.07,"80,440,800"
18-Jan-22,171.51,172.54,169.41,169.8,168.82,"90,956,700"
19-Jan-22,170,171.08,165.94,166.23,165.27,"94,815,000"
20-Jan-22,166.98,169.68,164.18,164.51,163.56,"91,420,500"
21-Jan-22,164.42,166.33,162.3,162.41,161.47,"122,848,900"
24-Jan-22,160.02,162.3,154.7,161.62,160.69,"162,294,600"
25-Jan-22,158.98,162.76,157.02,159.78,158.86,"115,798,400"
26-Jan-22,163.5,164.39,157.82,159.69,158.77,"108,275,300"
27-Jan-22,162.45,163.84,158.28,159.22,158.3,"121,954,600"
28-Jan-22,165.71,170.35,162.8,170.33,169.35,"179,935,700"
31-Jan-22,170.16,175,169.51,174.78,173.77,"115,541,600"
1-Feb-22,174.01,174.84,172.31,174.61,173.6,"86,213,900"
2-Feb-22,174.75,175.88,173.33,175.84,174.83,"84,914,300"
3-Feb-22,174.48,176.24,172.12,172.9,171.9,"89,418,100"
4-Feb-22,171.68,174.1,170.68,172.39,171.61,"82,465,400"
7-Feb-22,172.86,173.95,170.95,171.66,170.89,"77,251,200"
8-Feb-22,171.73,175.35,171.43,174.83,174.04,"74,829,200"
9-Feb-22,176.05,176.65,174.9,176.28,175.49,"71,285,000"
10-Feb-22,174.14,175.48,171.55,172.12,171.34,"90,865,900"
11-Feb-22,172.33,173.08,168.04,168.64,167.88,"98,670,700"
14-Feb-22,167.37,169.58,166.56,168.88,168.12,"86,185,500"
15-Feb-22,170.97,172.95,170.25,172.79,172.01,"62,527,400"
16-Feb-22,171.85,173.34,170.05,172.55,171.77,"61,177,400"
17-Feb-22,171.03,171.91,168.47,168.88,168.12,"69,589,300"
18-Feb-22,169.82,170.54,166.19,167.3,166.55,"82,772,700"
22-Feb-22,164.98,166.69,162.15,164.32,163.58,"91,162,800"
23-Feb-22,165.54,166.15,159.75,160.07,159.35,"90,009,200"
24-Feb-22,152.58,162.85,152,162.74,162.01,"141,147,500"
25-Feb-22,163.84,165.12,160.87,164.85,164.11,"91,974,200"
28-Feb-22,163.06,165.42,162.43,165.12,164.38,"95,056,600"
1-Mar-22,164.7,166.6,161.97,163.2,162.47,"83,474,400"
2-Mar-22,164.39,167.36,162.95,166.56,165.81,"79,724,800"
3-Mar-22,168.47,168.91,165.55,166.23,165.48,"76,678,400"
4-Mar-22,164.49,165.55,162.1,163.17,162.44,"83,737,200"
7-Mar-22,163.36,165.02,159.04,159.3,158.58,"96,418,800"
8-Mar-22,158.82,162.88,155.8,157.44,156.73,"131,148,300"
9-Mar-22,161.48,163.41,159.41,162.95,162.22,"91,454,900"
10-Mar-22,160.2,160.39,155.98,158.52,157.81,"105,342,000"
11-Mar-22,158.93,159.28,154.5,154.73,154.03,"96,970,100"
14-Mar-22,151.45,154.12,150.1,150.62,149.94,"108,732,100"
15-Mar-22,150.9,155.57,150.38,155.09,154.39,"92,964,300"
16-Mar-22,157.05,160,154.46,159.59,158.87,"102,300,200"
17-Mar-22,158.61,161,157.63,160.62,159.9,"75,615,400"
18-Mar-22,160.51,164.48,159.76,163.98,163.24,"123,511,700"
21-Mar-22,163.51,166.35,163.01,165.38,164.64,"95,811,400"
22-Mar-22,165.51,169.42,164.91,168.82,168.06,"81,532,000"
23-Mar-22,167.99,172.64,167.65,170.21,169.44,"98,062,700"
24-Mar-22,171.06,174.14,170.21,174.07,173.29,"90,131,400"
25-Mar-22,173.88,175.28,172.75,174.72,173.93,"80,546,200"
28-Mar-22,172.17,175.73,172,175.6,174.81,"90,371,900"
29-Mar-22,176.69,179.01,176.34,178.96,178.15,"100,589,400"
30-Mar-22,178.55,179.61,176.7,177.77,176.97,"92,633,200"
31-Mar-22,177.84,178.03,174.4,174.61,173.82,"103,049,300"
1-Apr-22,174.03,174.88,171.94,174.31,173.52,"78,751,300"
4-Apr-22,174.57,178.49,174.44,178.44,177.64,"76,468,400"
5-Apr-22,177.5,178.3,174.42,175.06,174.27,"73,401,800"
6-Apr-22,172.36,173.63,170.13,171.83,171.06,"89,058,800"
