State,Population,ElectoralVotes,HighwayMiles,SquareMiles
Alabama,4802982,9,213068,52419.02
Alaska,721523,3,31618,663267.26
Arizona,6412700,11,144393,113998.3
Arkansas,2926229,6,209159,53178.62
California,37341989,55,394608,163695.57
Colorado,5044930,9,184289,104093.57
Connecticut,3581628,7,45744,5543.33
Delaware,900877,3,13849,2489.27
District of Columbia,0,3,3418,68.34
Florida,18900773,29,271024,65754.59
Georgia,9727566,16,271920,59424.77
Hawaii,1366862,4,9662,10930.98
Idaho,1573499,4,98649,83570.08
Illinois,12864380,20,305872,57914.38
Indiana,6501582,11,203569,36417.73
Iowa,3053787,6,234793,56271.55
Kansas,2863813,6,287100,82276.84
Kentucky,4350606,8,165944,40409.02
Louisiana,4553962,8,130038,51839.7
Maine,1333074,4,46879,35384.65
Maryland,5789929,10,71126,12406.68
Massachusetts,6559644,11,76852,10554.57
Michigan,9911626,16,256806,96716.11
Minnesota,5314879,10,285084,86938.87
Mississippi,2978240,6,156999,48430.19
Missouri,6011478,10,273589,69704.31
Montana,994416,3,152940,147042.4
Nebraska,1831825,5,190716,77353.73
Nevada,2709432,6,85323,110560.71
New Hampshire,1321445,4,33156,9349.94
New Jersey,8807501,14,85557,8721.3
New Mexico,2067273,5,147600,121589.48
New York,19421055,29,242395,54556
North Carolina,9565781,15,225168,53818.51
North Dakota,675905,3,176509,70699.79
Ohio,11568495,18,262851,44824.9
Oklahoma,3764882,7,234633,69898.19
Oregon,3848606,7,146468,98380.64
Pennsylvania,12734905,20,250199,46055.24
Rhode Island,1055247,4,12915,1545.05
South Carolina,4645975,9,140106,32020.2
South Dakota,819761,3,167652,77116.49
Tennessee,6375431,11,202185,42143.27
Texas,25268418,38,675580,268580.82
Utah,2770765,6,97448,84898.83
Vermont,630337,3,29301,9614.26
Virginia,8037736,13,161914,42774.2
Washington,6753369,12,171031,71299.64
West Virginia,1859815,5,79891,24229.76
Wisconsin,5698230,10,238025,65497.82
Wyoming,568300,3,60454,97813.56
