cust_id,join_date,gender,age,marital_status,household_income,home_ownership,num_children,num_vehicles,last_purchase_date,spend
CUST-613944,2021-08-26 00:36:53,F,31,married,88153,rent,0,1,2021-03-09 14:19:58,3209
CUST-457073,2021-06-02 04:45:32,M,38,married,80098,own,1,5,2021-06-02 20:52:34,4141
CUST-932884,2019-07-22 14:57:04,F,56,married,262825,unknown,5,5,2021-08-15 04:00:57,3930
CUST-644501,2018-08-23 22:30:46,F,22,married,414209,own,1,2,2021-07-11 06:15:25,5270
CUST-677905,2020-10-27 10:30:14,F,23,married,268292,own,3,1,2021-12-29 07:43:47,6894
CUST-303404,2019-04-29 03:49:55,M,20,married,209784,rent,4,5,2021-02-27 18:19:02,4478
CUST-079753,2021-01-24 13:06:34,F,29,married,314285,rent,0,4,2021-08-05 03:21:33,3997
CUST-706701,2019-05-03 07:53:08,M,23,married,248009,own,1,4,2021-10-04 03:11:04,2738
CUST-121657,2017-06-11 14:46:07,M,24,unmarried,371477,rent,1,5,2021-04-10 20:55:21,5216
CUST-117546,2018-06-13 09:16:21,F,30,married,392480,own,5,4,2021-03-23 03:21:27,6629
CUST-791978,2018-02-15 05:11:22,F,46,married,318986,own,2,2,2021-07-08 22:48:21,5998
CUST-199340,2019-12-12 05:55:23,F,21,unmarried,121224,rent,5,1,2021-12-26 05:10:53,4052
CUST-616018,2018-03-22 00:36:16,F,42,married,357107,own,0,0,2021-10-10 06:07:20,5611
CUST-512892,2019-11-12 02:14:50,F,34,unmarried,312764,own,5,3,2021-04-03 19:06:12,1702
CUST-060836,2019-12-02 02:26:46,F,53,married,421583,own,1,5,2021-03-31 03:32:06,5010
CUST-222208,2018-03-07 10:22:34,F,20,married,314806,unknown,0,5,2021-01-18 17:24:34,4182
CUST-018537,2019-05-15 09:33:01,F,24,married,232886,own,5,1,2021-12-04 08:08:43,4808
CUST-913457,2018-05-24 10:10:16,M,29,married,65549,own,1,5,2021-08-03 01:47:15,3211
CUST-193573,2017-01-18 20:29:54,F,31,unmarried,125406,own,5,2,2021-07-31 15:01:23,2029
CUST-537493,2017-03-13 08:39:13,F,46,unmarried,108348,own,5,4,2021-12-08 07:35:30,4250
CUST-349525,2019-02-27 18:46:57,F,40,unmarried,255710,own,2,1,2021-12-08 08:47:30,5107
CUST-380763,2017-01-10 20:38:14,F,32,married,224718,rent,3,1,2021-11-24 06:22:26,3193
CUST-286783,2018-07-02 01:55:08,M,46,married,340319,own,5,4,2021-06-04 01:40:29,5021
CUST-488880,2021-10-29 13:03:54,F,32,married,476938,own,5,5,2021-11-13 04:48:35,6178
CUST-931704,2020-03-16 10:22:49,F,25,unmarried,194629,own,3,1,2021-03-28 23:40:09,4657
CUST-677766,2021-08-27 13:52:48,F,36,married,474159,own,3,4,2021-08-30 01:52:29,6646
CUST-251099,2020-04-10 11:39:00,M,25,unmarried,228762,own,0,3,2021-01-10 22:38:07,4799
CUST-232378,2017-06-13 18:31:09,F,37,married,119175,rent,5,2,2021-05-25 17:59:52,4806
CUST-221506,2018-11-23 07:38:40,F,47,married,210887,own,2,3,2021-05-16 15:07:23,2443
CUST-457099,2020-02-25 02:39:43,M,41,married,352889,rent,0,1,2021-03-21 11:10:44,2024
CUST-837335,2021-02-05 05:01:36,M,50,married,407691,own,5,3,2021-05-31 17:19:57,1491
CUST-648024,2019-04-26 10:11:06,F,36,married,127623,unknown,1,0,2021-03-31 14:27:42,3612
CUST-521591,2018-11-07 15:17:56,F,26,unmarried,440337,own,4,0,2021-02-25 09:58:25,4987
CUST-074713,2020-10-13 00:56:50,M,27,unmarried,475705,own,5,4,2021-10-01 16:07:21,2037
CUST-450864,2019-03-14 09:16:04,M,33,married,231602,rent,3,1,2021-04-27 15:00:54,5350
CUST-346473,2021-08-10 09:01:05,F,20,unmarried,349754,own,1,2,2021-03-14 18:47:38,3522
CUST-699387,2019-03-03 21:51:19,M,46,unmarried,95676,own,1,3,2021-03-31 07:13:57,2003
CUST-504469,2019-06-09 19:19:28,F,23,unmarried,68847,own,2,0,2021-01-08 06:31:04,4086
CUST-621114,2020-12-08 08:31:30,M,35,unmarried,475220,own,1,5,2021-03-11 21:50:58,2346
CUST-907625,2019-07-04 23:04:20,M,21,unmarried,359496,unknown,4,0,2021-05-09 23:14:26,3331
CUST-857087,2017-04-02 03:02:33,M,32,married,289570,own,4,4,2021-01-14 10:02:57,1726
CUST-628157,2021-05-15 22:22:51,F,30,married,371161,own,0,1,2021-07-02 23:36:02,5930
CUST-250129,2017-05-04 07:03:00,F,27,married,345741,own,0,5,2021-11-03 15:12:43,5908
CUST-863054,2020-09-06 11:26:39,F,22,married,437773,own,4,1,2021-04-22 12:15:09,6877
CUST-911373,2018-05-24 01:18:02,M,49,unmarried,153190,own,4,2,2021-08-04 04:15:10,4356
CUST-237828,2019-12-16 09:49:35,F,24,married,396838,own,5,5,2021-10-19 22:31:17,6347
CUST-764775,2021-11-22 17:00:18,F,55,married,407634,own,4,2,2021-08-31 01:32:39,6226
CUST-361331,2017-04-30 12:34:45,F,23,married,314156,own,5,1,2021-03-13 16:50:00,5593
CUST-812624,2017-11-02 10:00:57,M,53,unmarried,478037,own,1,2,2021-12-21 11:40:19,5371
CUST-430173,2018-07-30 13:52:07,M,46,married,291303,rent,5,0,2021-07-24 04:49:04,4753
CUST-025271,2019-03-15 02:52:41,M,51,married,75022,rent,0,4,2021-01-06 03:47:21,3314
CUST-535389,2020-12-18 23:38:50,M,23,unmarried,389297,own,4,2,2021-10-11 10:48:49,3006
CUST-088864,2019-04-13 10:05:52,M,32,unmarried,351515,rent,0,0,2021-09-24 15:12:46,4267
CUST-646348,2018-03-16 20:08:06,F,48,unmarried,261898,own,1,0,2021-05-23 20:06:28,3860
CUST-524928,2019-02-16 21:55:18,F,45,married,361787,rent,2,3,2021-04-01 09:24:26,1720
CUST-536690,2021-04-26 07:05:48,F,30,unmarried,299095,rent,2,0,2021-08-04 13:17:52,3450
CUST-155938,2017-09-11 20:40:16,M,32,married,193866,own,2,0,2021-09-04 05:54:42,3150
CUST-023180,2018-04-13 05:49:16,M,37,married,176306,own,1,5,2021-04-17 00:49:19,1575
CUST-522717,2020-08-31 18:51:49,M,35,married,268319,own,2,2,2021-03-03 03:15:15,4771
CUST-885951,2017-08-01 07:13:45,M,35,married,122912,own,2,0,2021-05-14 09:18:41,2433
CUST-720762,2018-12-29 01:19:42,F,53,unmarried,82180,own,2,1,2021-01-11 06:02:39,2644
CUST-812385,2017-05-16 14:50:34,M,28,married,306717,rent,4,0,2021-01-23 04:10:20,3538
CUST-576046,2017-10-22 18:19:01,F,37,married,306287,own,2,3,2021-02-24 19:31:17,5445
CUST-819194,2020-07-11 04:39:52,M,49,unmarried,414067,rent,4,1,2021-04-13 11:21:59,2811
CUST-690238,2018-05-01 05:34:24,M,32,married,442142,own,4,4,2021-04-18 05:13:50,3230
CUST-324285,2019-11-19 14:10:30,F,49,married,460097,unknown,4,5,2021-11-08 14:37:05,5401
CUST-344331,2021-11-12 04:25:25,M,27,married,381087,rent,4,5,2021-05-16 15:27:28,3000
CUST-293508,2018-08-19 17:26:26,F,38,married,340598,own,3,1,2021-08-18 17:31:47,7147
CUST-643348,2020-09-28 00:55:25,F,40,married,298131,rent,4,4,2021-01-25 09:09:53,1926
CUST-137818,2018-05-17 09:57:21,F,24,married,478950,own,1,2,2021-12-17 21:11:05,6709
CUST-224513,2019-03-22 17:11:12,M,52,unmarried,316410,own,2,0,2021-07-06 11:11:30,3653
CUST-825031,2017-08-11 20:19:23,M,43,married,95424,own,2,1,2021-12-25 18:37:03,2973
CUST-258423,2021-03-17 04:02:48,F,41,married,332925,rent,4,5,2021-04-09 10:18:05,2281
CUST-981815,2018-04-08 05:25:54,F,22,married,325210,own,0,4,2021-11-16 01:42:51,6627
CUST-750552,2019-04-08 23:59:19,F,33,married,282758,own,5,1,2021-12-12 18:39:57,5499
CUST-443088,2020-05-18 05:34:27,F,53,married,397555,own,0,5,2021-06-19 06:54:34,5345
CUST-122912,2020-07-17 03:15:10,F,38,married,330684,own,4,0,2021-11-17 00:05:33,5961
CUST-459407,2019-01-11 11:24:15,F,27,married,341853,rent,0,0,2021-10-19 07:02:13,4083
CUST-885574,2019-10-12 03:32:57,F,55,married,206338,unknown,4,4,2021-02-25 18:30:52,2387
CUST-844817,2020-02-05 23:15:53,F,50,married,280133,own,1,1,2021-05-27 11:06:23,7269
CUST-719460,2017-02-28 13:35:37,F,43,married,142963,unknown,4,5,2021-02-04 20:48:27,4098
CUST-980602,2021-07-25 22:12:33,F,29,married,448626,own,0,0,2021-10-18 10:37:38,5452
CUST-392598,2018-05-21 16:34:43,M,42,married,300827,own,2,4,2021-11-26 21:19:34,3285
CUST-395256,2019-09-01 04:29:24,F,52,married,322808,unknown,3,5,2021-11-11 15:32:27,4453
CUST-140176,2018-04-26 11:29:01,M,47,unmarried,382746,own,4,1,2021-12-23 13:23:00,1697
CUST-321228,2020-04-11 21:15:54,M,35,married,167814,own,4,5,2021-10-31 23:37:11,4268
CUST-611826,2020-11-05 02:34:11,F,48,married,397107,own,3,5,2021-10-17 17:41:15,5229
CUST-099996,2020-08-13 19:01:24,F,38,married,290744,own,0,4,2021-06-12 05:18:35,7264
CUST-548890,2020-10-13 04:54:48,F,36,married,129439,unknown,0,2,2021-02-09 02:39:35,2638
CUST-952005,2017-02-24 04:48:44,F,34,married,168028,unknown,0,0,2021-04-30 08:09:01,2960
CUST-642325,2021-02-27 02:19:50,F,55,married,94763,rent,1,2,2021-07-21 18:11:03,3156
CUST-377177,2021-08-01 04:55:42,F,37,unmarried,481794,rent,0,0,2021-07-05 16:00:15,3388
CUST-627327,2020-11-28 04:02:06,F,33,married,370417,own,4,5,2021-02-20 04:19:15,7055
CUST-999207,2017-10-27 22:42:13,F,25,married,400405,own,4,2,2021-06-14 13:12:03,6892
CUST-698498,2020-02-28 08:22:17,F,21,married,109895,rent,0,3,2021-07-30 07:40:32,2705
CUST-883262,2020-01-09 23:10:50,M,21,married,445549,own,1,0,2021-11-10 12:50:25,2476
CUST-850420,2019-04-21 21:51:20,F,51,married,367882,own,3,3,2021-04-12 08:26:15,4931
CUST-162484,2017-03-14 22:24:11,F,37,unmarried,407007,own,2,1,2021-05-19 02:09:27,5282
CUST-284692,2019-06-05 04:33:29,M,43,married,310694,own,5,4,2021-05-06 09:07:59,1917
CUST-437473,2019-08-02 00:35:03,F,44,married,425344,own,5,4,2021-01-13 12:39:34,5676
CUST-276762,2021-09-15 11:21:32,F,21,married,300092,rent,1,1,2021-12-06 15:23:02,2390
CUST-498132,2021-07-06 17:19:03,M,51,unmarried,68853,unknown,1,2,2021-07-13 09:14:31,4761
CUST-070448,2020-12-12 08:39:49,F,36,unmarried,412052,rent,2,0,2021-01-15 05:35:08,3830
CUST-292018,2019-11-19 03:13:17,M,50,married,465885,own,0,4,2021-08-25 12:26:17,4634
CUST-115185,2017-11-04 02:06:36,F,33,married,234427,own,3,2,2021-01-30 18:49:12,4795
CUST-815539,2019-03-28 21:41:06,F,40,married,483221,unknown,5,0,2021-04-16 04:50:24,3782
CUST-735392,2018-11-10 20:34:17,M,36,married,332176,own,2,5,2021-03-25 14:44:26,2488
CUST-752501,2017-12-07 08:27:39,F,26,married,450442,rent,5,0,2021-05-25 11:16:15,5319
CUST-920895,2017-09-30 08:36:20,F,20,unmarried,219268,own,5,5,2021-06-10 03:05:55,4526
CUST-287110,2021-01-09 16:44:31,M,33,unmarried,237939,own,3,5,2021-06-22 20:14:14,3505
CUST-234775,2019-03-18 22:46:08,F,42,married,371216,own,4,4,2021-09-10 11:21:39,6202
CUST-729609,2020-11-18 19:40:06,F,37,married,489102,own,1,2,2021-11-02 07:30:51,5507
CUST-895410,2018-12-27 20:39:13,F,34,married,242547,own,3,0,2021-01-30 04:51:53,2441
CUST-082158,2020-04-25 12:17:14,F,28,unmarried,290813,own,2,3,2021-07-18 02:23:29,2382
CUST-536004,2021-03-05 12:55:58,F,50,unmarried,103590,own,1,2,2021-06-23 17:12:21,3645
CUST-696104,2018-01-19 07:26:17,F,35,married,408493,own,3,0,2021-10-19 16:26:33,5166
CUST-810558,2017-02-25 18:19:13,M,51,married,151328,own,1,0,2021-02-22 09:10:34,1935
CUST-142237,2018-02-18 11:47:23,M,31,married,410672,own,4,3,2021-07-13 01:19:09,3004
CUST-207560,2020-11-04 17:18:22,M,56,married,232689,own,0,1,2021-12-10 21:14:18,2624
CUST-603271,2020-12-04 16:43:53,F,56,married,284525,own,0,4,2021-09-20 15:38:35,5695
CUST-116758,2020-09-01 22:34:31,F,26,unmarried,313986,own,0,0,2021-05-15 03:23:01,3508
CUST-553843,2017-10-07 23:43:58,F,25,unmarried,258854,own,4,2,2021-07-09 19:28:04,4710
CUST-443954,2020-12-10 15:08:42,F,47,married,396154,own,4,3,2021-05-21 11:51:37,5641
CUST-887676,2020-12-11 22:59:07,F,27,married,398139,own,5,1,2021-07-11 02:17:02,6668
CUST-288566,2019-07-26 23:02:51,F,49,married,174852,unknown,5,3,2021-05-03 01:55:50,1871
CUST-215536,2018-01-11 01:54:37,F,22,unmarried,97384,rent,1,2,2021-12-23 15:12:30,1706
CUST-554878,2020-02-10 00:45:34,F,51,unmarried,92465,own,4,2,2021-11-14 08:12:15,5341
CUST-551862,2017-02-16 06:53:04,F,27,married,464917,own,5,2,2021-02-27 15:23:46,6560
CUST-932049,2017-12-16 08:27:21,F,26,unmarried,163012,unknown,0,2,2021-09-13 08:16:15,4887
CUST-793725,2018-06-07 12:24:02,F,23,married,305580,own,2,5,2021-10-26 16:45:03,6658
CUST-041871,2019-02-04 20:49:29,M,53,married,141108,own,2,4,2021-02-13 23:00:39,4665
CUST-995098,2020-02-17 14:25:07,F,31,married,326888,rent,2,1,2021-06-06 14:03:24,1957
CUST-398899,2018-05-12 08:05:32,M,41,married,96408,own,4,0,2021-11-20 01:58:51,4868
CUST-376193,2017-09-01 04:43:43,F,54,married,324315,own,3,0,2021-11-24 04:01:30,5679
CUST-307874,2019-10-12 05:53:18,F,23,married,385155,rent,1,3,2021-04-26 06:07:47,1894
CUST-774666,2019-06-10 13:23:48,M,28,unmarried,219132,rent,4,0,2021-01-18 10:05:40,2105
CUST-505177,2017-09-17 04:01:37,M,27,married,390480,own,1,2,2021-05-18 02:29:39,4767
CUST-401910,2021-09-30 09:12:21,F,34,unmarried,457560,own,4,4,2021-12-28 07:46:04,3650
CUST-094498,2017-05-28 02:41:53,F,37,unmarried,316312,own,1,2,2021-06-15 18:59:27,4099
CUST-997952,2017-02-19 03:14:39,F,37,unmarried,310198,rent,5,3,2021-04-17 05:18:19,4363
CUST-467371,2019-09-22 17:50:28,M,44,married,417714,unknown,0,4,2021-06-06 20:00:01,3912
CUST-584453,2021-07-28 01:39:27,F,26,unmarried,221226,own,5,1,2021-07-13 00:35:10,3875
CUST-758060,2017-11-21 03:01:28,M,38,unmarried,191038,own,5,3,2021-06-27 00:35:49,1502
CUST-236506,2017-10-04 06:49:13,M,37,unmarried,356067,own,5,4,2021-06-14 08:33:30,2000
CUST-260362,2018-01-20 20:00:46,F,33,married,475616,own,1,3,2021-10-26 10:55:50,6982
CUST-182851,2020-08-02 03:48:32,F,25,married,338463,own,3,2,2021-01-25 22:42:28,6292
CUST-575383,2020-09-06 07:08:38,F,30,married,389990,own,0,5,2021-11-23 17:29:21,5391
CUST-555862,2019-07-12 17:47:10,F,26,married,290275,own,5,3,2021-10-14 12:59:29,6364
CUST-433397,2020-02-21 09:20:21,M,29,married,212696,unknown,5,5,2021-11-16 10:02:57,2529
CUST-597686,2020-07-26 15:16:06,F,34,unmarried,412969,own,4,0,2021-10-30 02:48:07,3170
CUST-468808,2019-01-16 12:28:02,F,22,married,223964,rent,5,2,2021-10-10 02:08:57,4089
CUST-156921,2017-08-11 04:48:46,M,29,married,265747,rent,5,3,2021-03-19 08:18:18,5045
CUST-382276,2021-01-03 05:39:50,F,38,married,263188,own,4,1,2021-06-24 20:38:58,5344
CUST-733161,2020-05-06 15:01:33,M,45,married,324883,unknown,2,3,2021-06-26 04:44:26,4013
CUST-746168,2019-07-03 18:37:24,F,55,married,359195,own,0,5,2021-01-16 11:40:56,5567
CUST-172407,2021-05-07 16:43:53,F,25,married,71011,unknown,0,0,2021-12-21 16:01:08,4776
CUST-511466,2021-03-03 15:30:41,F,34,married,214785,own,1,2,2021-03-28 11:51:12,1936
